Player,Position,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Andrew Nembhard,Point Guard,43,27.3,8.4,3.3,7.7,42.9,1.3,3.7,35.4,0.5,0.6,91.7,3,4,1,0.2,1.7,2,0
Coby White,Point Guard,37,21.1,8.4,3,6.8,43.5,1.6,4.4,37.4,0.8,1,78.9,2.6,1.8,0.8,0.1,0.8,0,0
Nick Richards,Center,38,17.4,8.3,3.2,5.1,62.5,0,0,0,2,2.8,73.3,5.8,0.6,0.2,0.8,0.8,8,0
Joe Harris,Small Forward,38,24.6,8.2,3,6.8,44.4,1.8,4.7,39,0.4,0.6,66.7,2.8,1.6,0.6,0.3,0.7,0,0
Kyle Anderson,Small Forward,37,26.6,8.2,3.1,6.2,49.6,0.6,1.3,42.9,1.5,2,76,4.8,4.1,1.3,0.9,1.4,4,1
Torrey Craig,Small Forward,44,25.3,8.2,3.2,6.8,46.5,1.3,3.4,39.2,0.5,0.7,77.4,5.6,1.5,0.7,0.6,0.8,2,0
Tre Mann,Point Guard,41,19.3,8.1,3.2,8.1,39,1.3,4.3,31.1,0.5,0.7,70.4,2.4,1.6,0.7,0.2,1,0,0
Hamidou Diallo,Shooting Guard,40,16.5,8.1,3.3,5.7,57.3,0.1,0.5,27.8,1.5,2.6,56.7,3.5,0.9,0.8,0.2,1.1,0,0
Tari Eason,Forward,46,18.8,8.1,3.1,7.2,43.3,0.8,2,37.6,1.1,1.4,79.7,5.3,0.9,1.1,0.5,1,1,0
Donte DiVincenzo,Shooting Guard,36,24.4,8.1,2.8,6.9,39.9,1.8,4.8,37.4,0.8,1,82.9,4.7,3,1.3,0.1,1.4,1,0
Deni Avdija,Small Forward,44,25.8,8,2.9,7,42.2,0.8,3,27.7,1.3,1.7,76,6,2.5,0.8,0.5,1.5,5,0
Terrence Ross,Shooting Guard,42,22.5,8,3.1,7.1,43.1,1.5,3.8,38.1,0.4,0.5,75,2,1.3,0.6,0.2,0.9,0,0
Draymond Green,Power Forward,41,31.5,8,3.1,6.1,50.4,0.6,1.9,32.9,1.1,1.5,74.2,7.1,6.8,0.9,0.8,2.5,7,0
Daniel Gafford,Center,45,17.1,7.9,3.3,4.4,75.1,0,0,0,1.4,2.2,62.9,4.9,0.7,0.4,1.1,0.9,4,0
Isaiah Joe,Shooting Guard,38,14.4,7.9,2.5,5.3,47.3,1.9,4.3,45.4,0.9,1.1,80.5,2.2,1.1,0.6,0.1,0.4,0,0
Jalen Duren,Center,40,24.2,7.8,3.3,5.2,64.1,0,0,0,1.2,2,58.2,8.6,1,0.6,0.8,1.2,9,0
Anthony Lamb,Forward,38,20.1,7.6,2.7,5.3,51.2,1.5,3.5,41.8,0.7,0.9,76.5,3.3,1.6,0.6,0.3,1.1,0,0
